"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"9249","{""Q0"":""0Uubv""}","pre task questions","survey-text","0","9253","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"6324","","pre_stim","single-stim-button","1","16580","0.0-1.0-0.0","columbia-card-task-hot","false","0","1","6324","6324","0","test","1","1","3","30","250","30","false","rigged_win","","","",""
"711","","pre_stim","single-stim-button","2","17291","0.0-1.1-0.1","columbia-card-task-hot","false","0","9","711","711","0","test","1","2","3","30","250","60","false","rigged_win","","","",""
"591","","pre_stim","single-stim-button","3","17884","0.0-1.2-0.2","columbia-card-task-hot","false","0","17","591","591","0","test","1","3","3","30","250","90","false","rigged_win","","","",""
"791","","pre_stim","single-stim-button","4","18675","0.0-1.3-0.3","columbia-card-task-hot","false","0","25","791","791","0","test","1","4","3","30","250","120","false","rigged_win","","","",""
"848","","pre_stim","single-stim-button","5","19524","0.0-1.4-0.4","columbia-card-task-hot","false","0","2","848","848","0","test","1","5","3","30","250","150","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","6","20211","0.0-1.5-0.5","columbia-card-task-hot","false","0","3","687","687","0","test","1","6","3","30","250","180","false","rigged_win","","","",""
"743","","pre_stim","single-stim-button","7","20955","0.0-1.6-0.6","columbia-card-task-hot","false","0","4","743","743","0","test","1","7","3","30","250","210","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","8","21643","0.0-1.7-0.7","columbia-card-task-hot","false","0","5","687","687","0","test","1","8","3","30","250","240","false","rigged_win","","","",""
"831","","pre_stim","single-stim-button","9","22475","0.0-1.8-0.8","columbia-card-task-hot","false","0","10","831","831","0","test","1","9","3","30","250","270","false","rigged_win","","","",""
"638","","pre_stim","single-stim-button","10","23115","0.0-1.9-0.9","columbia-card-task-hot","false","0","11","638","638","0","test","1","10","3","30","250","300","false","rigged_win","","","",""
"664","","pre_stim","single-stim-button","11","23779","0.0-1.10-0.10","columbia-card-task-hot","false","0","18","664","664","0","test","1","11","3","30","250","330","false","rigged_win","","","",""
"1216","","pre_stim","single-stim-button","12","24995","0.0-1.11-0.11","columbia-card-task-hot","false","0","32","1216","1216","0","test","1","12","3","30","250","360","false","rigged_win","","","",""
"598","","pre_stim","single-stim-button","13","25595","0.0-1.12-0.12","columbia-card-task-hot","false","0","24","598","598","0","test","1","13","3","30","250","390","false","rigged_win","","","",""
"736","","pre_stim","single-stim-button","14","26331","0.0-1.13-0.13","columbia-card-task-hot","false","0","16","736","736","0","test","1","14","3","30","250","420","false","rigged_win","","","",""
"792","","pre_stim","single-stim-button","15","27124","0.0-1.14-0.14","columbia-card-task-hot","false","0","8","792","792","0","test","1","15","3","30","250","450","false","rigged_win","","","",""
"471","","pre_stim","single-stim-button","16","27596","0.0-1.15-0.15","columbia-card-task-hot","false","0","7","471","471","0","test","1","16","3","30","250","480","false","rigged_win","","","",""
"1079","","pre_stim","single-stim-button","17","28676","0.0-1.16-0.16","columbia-card-task-hot","false","0","6","1079","1079","0","test","1","17","3","30","250","510","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","18","29363","0.0-1.17-0.17","columbia-card-task-hot","false","0","15","687","687","0","test","1","18","3","30","250","540","false","rigged_win","","","",""
"703","","pre_stim","single-stim-button","19","30067","0.0-1.18-0.18","columbia-card-task-hot","false","0","23","703","703","0","test","1","19","3","30","250","570","false","rigged_win","","","",""
"511","","pre_stim","single-stim-button","20","30579","0.0-1.19-0.19","columbia-card-task-hot","false","0","31","511","511","0","test","1","20","3","30","250","600","false","rigged_win","","","",""
"383","","pre_stim","single-stim-button","21","30963","0.0-1.20-0.20","columbia-card-task-hot","false","0","30","383","383","0","test","1","21","3","30","250","630","false","rigged_win","","","",""
"678","","pre_stim","single-stim-button","22","31643","0.0-1.21-0.21","columbia-card-task-hot","false","0","29","678","678","0","test","1","22","3","30","250","660","false","rigged_win","","","",""
"752","","pre_stim","single-stim-button","23","32395","0.0-1.22-0.22","columbia-card-task-hot","false","0","27","752","752","0","test","1","23","3","30","250","690","false","rigged_win","","","",""
"647","","pre_stim","single-stim-button","24","33043","0.0-1.23-0.23","columbia-card-task-hot","false","0","26","647","647","0","test","1","24","3","30","250","720","false","rigged_win","","","",""
"1128","","pre_stim","single-stim-button","25","34171","0.0-1.24-0.24","columbia-card-task-hot","false","0","19","1128","1128","0","test","1","25","3","30","250","750","false","rigged_win","","","",""
"775","","pre_stim","single-stim-button","26","34947","0.0-1.25-0.25","columbia-card-task-hot","false","0","12","775","775","0","test","1","26","3","30","250","780","false","rigged_win","","","",""
"1152","","pre_stim","single-stim-button","27","36099","0.0-1.26-0.26","columbia-card-task-hot","false","0","28","1152","1152","0","test","1","27","3","30","250","810","false","rigged_win","","","",""
"3087","","pre_stim","single-stim-button","28","39187","0.0-1.27-0.27","columbia-card-task-hot","false","0","13","3087","3087","0","test","1","28","3","30","250","840","false","rigged_win","","","",""
"1183","","pre_stim","single-stim-button","29","40371","0.0-1.28-0.28","columbia-card-task-hot","false","0","turnButton","1183","1183","0","test","1","28","3","30","250","840","false","rigged_win","","","",""
"2847","","pre_stim","single-stim-button","30","43219","0.0-1.29-0.29","columbia-card-task-hot","false","0","collectButton","2847","2847","0","test","1","29","3","30","250","840","false","rigged_win","","","",""
"7527","","pre_stim","single-stim-button","31","50748","0.0-2.0-0.0","columbia-card-task-hot","false","0","3","7527","7527","0","test","2","1","1","10","250","10","false","rigged_loss","","","",""
"815","","pre_stim","single-stim-button","32","51564","0.0-2.1-0.1","columbia-card-task-hot","false","0","4","815","815","0","test","2","2","1","10","250","20","false","rigged_loss","","","",""
"1175","","pre_stim","single-stim-button","33","52739","0.0-2.2-0.2","columbia-card-task-hot","false","0","2","1175","1175","0","test","2","3","1","10","250","30","false","rigged_loss","","","",""
"2095","","pre_stim","single-stim-button","34","54835","0.0-2.3-0.3","columbia-card-task-hot","false","0","1","2095","2095","0","test","2","4","1","10","250","40","false","rigged_loss","","","",""
"495","","pre_stim","single-stim-button","35","55331","0.0-2.4-0.4","columbia-card-task-hot","false","0","9","495","495","0","test","2","5","1","10","250","50","false","rigged_loss","","","",""
"639","","pre_stim","single-stim-button","36","55971","0.0-2.5-0.5","columbia-card-task-hot","false","0","17","639","639","0","test","2","6","1","10","250","60","false","rigged_loss","","","",""
"952","","pre_stim","single-stim-button","37","56923","0.0-2.6-0.6","columbia-card-task-hot","false","0","25","952","952","0","test","2","7","1","10","250","70","false","rigged_loss","","","",""
"584","","pre_stim","single-stim-button","38","57508","0.0-2.7-0.7","columbia-card-task-hot","false","0","26","584","584","0","test","2","8","1","10","250","80","false","rigged_loss","","","",""
"774","","pre_stim","single-stim-button","39","58283","0.0-2.8-0.8","columbia-card-task-hot","false","0","19","774","774","0","test","2","9","1","10","250","90","false","rigged_loss","","","",""
"711","","pre_stim","single-stim-button","40","58995","0.0-2.9-0.9","columbia-card-task-hot","false","0","12","711","711","0","test","2","10","1","10","250","-160","true","rigged_loss","","","",""
"4078","","pre_stim","single-stim-button","41","63075","0.0-2.10-0.10","columbia-card-task-hot","false","0","collectButton","4078","4078","0","test","2","11","1","10","250","-160","true","rigged_loss","","","",""
"6240","","pre_stim","single-stim-button","42","69316","0.0-3.0-0.0","columbia-card-task-hot","false","0","8","6240","6240","0","test","3","1","1","10","250","10","false","rigged_win","","","",""
"758","","pre_stim","single-stim-button","43","70075","0.0-3.1-0.1","columbia-card-task-hot","false","0","7","758","758","0","test","3","2","1","10","250","20","false","rigged_win","","","",""
"591","","pre_stim","single-stim-button","44","70666","0.0-3.2-0.2","columbia-card-task-hot","false","0","16","591","591","0","test","3","3","1","10","250","30","false","rigged_win","","","",""
"447","","pre_stim","single-stim-button","45","71115","0.0-3.3-0.3","columbia-card-task-hot","false","0","32","447","447","0","test","3","4","1","10","250","40","false","rigged_win","","","",""
"631","","pre_stim","single-stim-button","46","71747","0.0-3.4-0.4","columbia-card-task-hot","false","0","24","631","631","0","test","3","5","1","10","250","50","false","rigged_win","","","",""
"503","","pre_stim","single-stim-button","47","72251","0.0-3.5-0.5","columbia-card-task-hot","false","0","23","503","503","0","test","3","6","1","10","250","60","false","rigged_win","","","",""
"623","","pre_stim","single-stim-button","48","72875","0.0-3.6-0.6","columbia-card-task-hot","false","0","22","623","623","0","test","3","7","1","10","250","70","false","rigged_win","","","",""
"583","","pre_stim","single-stim-button","49","73459","0.0-3.7-0.7","columbia-card-task-hot","false","0","30","583","583","0","test","3","8","1","10","250","80","false","rigged_win","","","",""
"887","","pre_stim","single-stim-button","50","74347","0.0-3.8-0.8","columbia-card-task-hot","false","0","15","887","887","0","test","3","9","1","10","250","90","false","rigged_win","","","",""
"511","","pre_stim","single-stim-button","51","74859","0.0-3.9-0.9","columbia-card-task-hot","false","0","14","511","511","0","test","3","10","1","10","250","100","false","rigged_win","","","",""
"543","","pre_stim","single-stim-button","52","75403","0.0-3.10-0.10","columbia-card-task-hot","false","0","6","543","543","0","test","3","11","1","10","250","110","false","rigged_win","","","",""
"1887","","pre_stim","single-stim-button","53","77291","0.0-3.11-0.11","columbia-card-task-hot","false","0","5","1887","1887","0","test","3","12","1","10","250","120","false","rigged_win","","","",""
"847","","pre_stim","single-stim-button","54","78139","0.0-3.12-0.12","columbia-card-task-hot","false","0","1","847","847","0","test","3","13","1","10","250","130","false","rigged_win","","","",""
"431","","pre_stim","single-stim-button","55","78571","0.0-3.13-0.13","columbia-card-task-hot","false","0","2","431","431","0","test","3","14","1","10","250","140","false","rigged_win","","","",""
