"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"7148","{""Q0"":""Test3""}","pre task questions","survey-text","0","7149","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"5988","","pre_stim","single-stim-button","1","14141","0.0-1.0-0.0","columbia-card-task-hot","false","0","16","5988","5988","0","test","1","1","3","30","250","30","false","rigged_loss","","","",""
"478","","pre_stim","single-stim-button","2","14620","0.0-1.1-0.1","columbia-card-task-hot","false","0","24","478","478","0","test","1","2","3","30","250","60","false","rigged_loss","","","",""
"423","","pre_stim","single-stim-button","3","15044","0.0-1.2-0.2","columbia-card-task-hot","false","0","23","423","423","0","test","1","3","3","30","250","90","false","rigged_loss","","","",""
"687","","pre_stim","single-stim-button","4","15732","0.0-1.3-0.3","columbia-card-task-hot","false","0","22","687","687","0","test","1","4","3","30","250","120","false","rigged_loss","","","",""
"1031","","pre_stim","single-stim-button","5","16763","0.0-1.4-0.4","columbia-card-task-hot","false","0","18","1031","1031","0","test","1","5","3","30","250","150","false","rigged_loss","","","",""
"647","","pre_stim","single-stim-button","6","17412","0.0-1.5-0.5","columbia-card-task-hot","false","0","9","647","647","0","test","1","6","3","30","250","180","false","rigged_loss","","","",""
"527","","pre_stim","single-stim-button","7","17939","0.0-1.6-0.6","columbia-card-task-hot","false","0","1","527","527","0","test","1","7","3","30","250","210","false","rigged_loss","","","",""
"391","","pre_stim","single-stim-button","8","18332","0.0-1.7-0.7","columbia-card-task-hot","false","0","2","391","391","0","test","1","8","3","30","250","240","false","rigged_loss","","","",""
"383","","pre_stim","single-stim-button","9","18716","0.0-1.8-0.8","columbia-card-task-hot","false","0","3","383","383","0","test","1","9","3","30","250","270","false","rigged_loss","","","",""
"399","","pre_stim","single-stim-button","10","19115","0.0-1.9-0.9","columbia-card-task-hot","false","0","4","399","399","0","test","1","10","3","30","250","300","false","rigged_loss","","","",""
"1063","","pre_stim","single-stim-button","11","20180","0.0-1.10-0.10","columbia-card-task-hot","false","0","30","1063","1063","0","test","1","11","3","30","250","330","false","rigged_loss","","","",""
"727","","pre_stim","single-stim-button","12","20908","0.0-1.11-0.11","columbia-card-task-hot","false","0","28","727","727","0","test","1","12","3","30","250","360","false","rigged_loss","","","",""
"1303","","pre_stim","single-stim-button","13","22212","0.0-1.12-0.12","columbia-card-task-hot","false","0","15","1303","1303","0","test","1","13","3","30","250","390","false","rigged_loss","","","",""
"807","","pre_stim","single-stim-button","14","23020","0.0-1.13-0.13","columbia-card-task-hot","false","0","6","807","807","0","test","1","14","3","30","250","420","false","rigged_loss","","","",""
"1431","","pre_stim","single-stim-button","15","24452","0.0-1.14-0.14","columbia-card-task-hot","false","0","11","1431","1431","0","test","1","15","3","30","250","450","false","rigged_loss","","","",""
"1303","","pre_stim","single-stim-button","16","25756","0.0-1.15-0.15","columbia-card-task-hot","false","0","25","1303","1303","0","test","1","16","3","30","250","480","false","rigged_loss","","","",""
"1719","","pre_stim","single-stim-button","17","27476","0.0-1.16-0.16","columbia-card-task-hot","false","0","32","1719","1719","0","test","1","17","3","30","250","510","false","rigged_loss","","","",""
"2359","","pre_stim","single-stim-button","18","29836","0.0-1.17-0.17","columbia-card-task-hot","false","0","turnButton","2359","2359","0","test","1","17","3","30","250","510","false","rigged_loss","","","",""
