"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"7802","{""Q0"":""jbeu9""}","pre task questions","survey-text","0","7804","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"7202","","pre_stim","single-stim-button","1","16012","0.0-1.0-0.0","columbia-card-task-hot","true","0","1","7202","7202","0","test","1","1","1","30","750","30","false","rigged_win","","","",""
"557","","pre_stim","single-stim-button","2","16571","0.0-1.1-0.1","columbia-card-task-hot","true","0","2","557","557","0","test","1","2","1","30","750","60","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","3","17051","0.0-1.2-0.2","columbia-card-task-hot","true","0","10","479","479","0","test","1","3","1","30","750","90","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","4","17547","0.0-1.3-0.3","columbia-card-task-hot","true","0","9","495","495","0","test","1","4","1","30","750","120","false","rigged_win","","","",""
"567","","pre_stim","single-stim-button","5","18115","0.0-1.4-0.4","columbia-card-task-hot","true","0","17","567","567","0","test","1","5","1","30","750","150","false","rigged_win","","","",""
"519","","pre_stim","single-stim-button","6","18635","0.0-1.5-0.5","columbia-card-task-hot","true","0","18","519","519","0","test","1","6","1","30","750","180","false","rigged_win","","","",""
"431","","pre_stim","single-stim-button","7","19067","0.0-1.6-0.6","columbia-card-task-hot","true","0","26","431","431","0","test","1","7","1","30","750","210","false","rigged_win","","","",""
"463","","pre_stim","single-stim-button","8","19531","0.0-1.7-0.7","columbia-card-task-hot","true","0","25","463","463","0","test","1","8","1","30","750","240","false","rigged_win","","","",""
"2623","","pre_stim","single-stim-button","9","22155","0.0-1.8-0.8","columbia-card-task-hot","true","0","3","2623","2623","0","test","1","9","1","30","750","270","false","rigged_win","","","",""
"535","","pre_stim","single-stim-button","10","22691","0.0-1.9-0.9","columbia-card-task-hot","true","0","4","535","535","0","test","1","10","1","30","750","300","false","rigged_win","","","",""
"471","","pre_stim","single-stim-button","11","23163","0.0-1.10-0.10","columbia-card-task-hot","true","0","5","471","471","0","test","1","11","1","30","750","330","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","12","23603","0.0-1.11-0.11","columbia-card-task-hot","true","0","6","439","439","0","test","1","12","1","30","750","360","false","rigged_win","","","",""
