"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"13758","{""Q0"":""-SF4j""}","pre task questions","survey-text","0","13761","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"8389","","pre_stim","single-stim-button","1","23152","0.0-1.0-0.0","columbia-card-task-hot","true","0","1","8389","8389","0","test","1","1","3","30","250","30","false","rigged_win","","","",""
"974","","pre_stim","single-stim-button","2","24127","0.0-1.1-0.1","columbia-card-task-hot","true","0","2","974","974","0","test","1","2","3","30","250","60","false","rigged_win","","","",""
"991","","pre_stim","single-stim-button","3","25120","0.0-1.2-0.2","columbia-card-task-hot","true","0","3","991","991","0","test","1","3","3","30","250","90","false","rigged_win","","","",""
"1007","","pre_stim","single-stim-button","4","26128","0.0-1.3-0.3","columbia-card-task-hot","true","0","4","1007","1007","0","test","1","4","3","30","250","120","false","rigged_win","","","",""
"1015","","pre_stim","single-stim-button","5","27143","0.0-1.4-0.4","columbia-card-task-hot","true","0","5","1015","1015","0","test","1","5","3","30","250","150","false","rigged_win","","","",""
"1095","","pre_stim","single-stim-button","6","28240","0.0-1.5-0.5","columbia-card-task-hot","true","0","6","1095","1095","0","test","1","6","3","30","250","180","false","rigged_win","","","",""
"1703","","pre_stim","single-stim-button","7","29944","0.0-1.6-0.6","columbia-card-task-hot","true","0","7","1703","1703","0","test","1","7","3","30","250","210","false","rigged_win","","","",""
"1215","","pre_stim","single-stim-button","8","31160","0.0-1.7-0.7","columbia-card-task-hot","true","0","8","1215","1215","0","test","1","8","3","30","250","240","false","rigged_win","","","",""
"2095","","pre_stim","single-stim-button","9","33256","0.0-1.8-0.8","columbia-card-task-hot","true","0","16","2095","2095","0","test","1","9","3","30","250","270","false","rigged_win","","","",""
"1487","","pre_stim","single-stim-button","10","34744","0.0-1.9-0.9","columbia-card-task-hot","true","0","15","1487","1487","0","test","1","10","3","30","250","300","false","rigged_win","","","",""
"1415","","pre_stim","single-stim-button","11","36159","0.0-1.10-0.10","columbia-card-task-hot","true","0","23","1415","1415","0","test","1","11","3","30","250","330","false","rigged_win","","","",""
"1055","","pre_stim","single-stim-button","12","37216","0.0-1.11-0.11","columbia-card-task-hot","true","0","24","1055","1055","0","test","1","12","3","30","250","360","false","rigged_win","","","",""
"1255","","pre_stim","single-stim-button","13","38472","0.0-1.12-0.12","columbia-card-task-hot","true","0","22","1255","1255","0","test","1","13","3","30","250","390","false","rigged_win","","","",""
"919","","pre_stim","single-stim-button","14","39392","0.0-1.13-0.13","columbia-card-task-hot","true","0","14","919","919","0","test","1","14","3","30","250","420","false","rigged_win","","","",""
"983","","pre_stim","single-stim-button","15","40376","0.0-1.14-0.14","columbia-card-task-hot","true","0","30","983","983","0","test","1","15","3","30","250","450","false","rigged_win","","","",""
"735","","pre_stim","single-stim-button","16","41111","0.0-1.15-0.15","columbia-card-task-hot","true","0","31","735","735","0","test","1","16","3","30","250","480","false","rigged_win","","","",""
"703","","pre_stim","single-stim-button","17","41816","0.0-1.16-0.16","columbia-card-task-hot","true","0","32","703","703","0","test","1","17","3","30","250","510","false","rigged_win","","","",""
"2223","","pre_stim","single-stim-button","18","44040","0.0-1.17-0.17","columbia-card-task-hot","true","0","25","2223","2223","0","test","1","18","3","30","250","540","false","rigged_win","","","",""
"1511","","pre_stim","single-stim-button","19","45552","0.0-1.18-0.18","columbia-card-task-hot","true","0","26","1511","1511","0","test","1","19","3","30","250","570","false","rigged_win","","","",""
"3191","","pre_stim","single-stim-button","20","48744","0.0-1.19-0.19","columbia-card-task-hot","true","0","27","3191","3191","0","test","1","20","3","30","250","600","false","rigged_win","","","",""
"2318","","pre_stim","single-stim-button","21","51064","0.0-1.20-0.20","columbia-card-task-hot","true","0","28","2318","2318","0","test","1","21","3","30","250","630","false","rigged_win","","","",""
"1431","","pre_stim","single-stim-button","22","52496","0.0-1.21-0.21","columbia-card-task-hot","true","0","turnButton","1431","1431","0","test","1","21","3","30","250","630","false","rigged_win","","","",""
"4694","","pre_stim","single-stim-button","23","57192","0.0-1.22-0.22","columbia-card-task-hot","true","0","collectButton","4694","4694","0","test","1","22","3","30","250","630","false","rigged_win","","","",""
